Time,VC0,D_CaL_sCaLm,D_CaL_sCaLh,D_CaL_vCaLm,D_CaL_vCaLh,D_CaL_tCaLh1,D_CaL_tCaLh2,D_CaL_gCaL,D_CaL_mCaL_inf,D_CaL_hCaL_inf,D_CaL_tauCaLm,D_CaL_tauCaLh,D_CaL_iCaL,D_CaL_mCaL,D_CaL_hCaL
0.0,-62.0,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.039165722796764356 ,0.9969815836752917 ,0.18945131050820513 ,53.69747779952638 ,-40.061578968747355 ,0.8218051702003508 ,0.6672499701175263  
0.025,-61.89982487693545,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.039165722796764356 ,0.9969815836752917 ,0.18945131050820513 ,53.69747779952638 ,-40.061578968747355 ,0.7250521714943087 ,0.6674034479353881  
0.05,-61.82187889999588,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.039544444674924656 ,0.9969206878607875 ,0.19012355070831627 ,53.71096742294842 ,-31.16635576882297 ,0.6405873544013331 ,0.6675567874580326  
0.075,-61.76105092904071,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.03984155364730667 ,0.9968724590491986 ,0.19064866825919102 ,53.721509923791196 ,-24.31852116138488 ,0.5667572806999548 ,0.6677100031151725  
0.09999999999999999,-61.71344321254525,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.04007489863471804 ,0.9968342994585891 ,0.1910597117907143 ,53.72976538290234 ,-19.031191066312427 ,0.5021597480282795 ,0.6678631062119912  
0.12499999999999999,-61.676071896084814,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.0402584418278393 ,0.9968041099381321 ,0.19138218503135346 ,53.73624393339824 ,-14.937983684187826 ,0.44559696467213605 ,0.6680161056003128  
0.15,-61.64664546232713,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.04040308434217133 ,0.9967802107219609 ,0.19163579295639366 ,53.74134017436041 ,-11.761535095387517 ,0.39603984437384954 ,0.6681690082106788  
0.17500000000000002,-61.62339933463565,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.04051732703526857 ,0.9967612670208946 ,0.19183577772563948 ,53.745359612052226 ,-9.290857972466457 ,0.35260020533756076 ,0.6683218194717939  
0.20000000000000004,-61.60497150950826,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.04060779451102022 ,0.996746223471553 ,0.19199394269931985 ,53.74853899580506 ,-7.3648307434398514 ,0.31450871088275745 ,0.6684745436398042  
0.22500000000000006,-61.590308495511394,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.040679647917088266 ,0.996734248575913 ,0.19211943860601038 ,53.75106197203069 ,-5.860019083257393 ,0.28109706962860803 ,0.6686271840559985  
0.25000000000000006,-61.57859384077635,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.040736908611654375 ,0.9967246887816088 ,0.1922193679217009 ,53.75307114372618 ,-4.681609267787422 ,0.2517834605926796 ,0.6687797433480479  
0.2750000000000001,-61.5691936194172,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.04078271108863882 ,0.9967170311794186 ,0.1922992500360789 ,53.75467736751489 ,-3.7566074354753685 ,0.22606044772398862 ,0.668932223586912  
0.3000000000000001,-61.56161472509353,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.04081950014544094 ,0.9967108735671198 ,0.1923633796376214 ,53.75596692581586 ,-3.0287075290937735 ,0.20348485142346287 ,0.6690846264090559  
0.3250000000000001,-61.5554728821116,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.04084918432283191 ,0.9967059006338314 ,0.19241510308231435 ,53.757007063323826 ,-2.454399563860648 ,0.18366918445873573 ,0.6692369531115936  
0.35000000000000014,-61.550468057937586,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.04087325517551009 ,0.9967018651330509 ,0.1924570316948 ,53.75785026350609 ,-2.0000068331774723 ,0.16627435744259242 ,0.6693892047263387  
0.37500000000000017,-61.54636553046873,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.04089287991269339 ,0.9966985730677397 ,0.19249120652494395 ,53.75853755392618 ,-1.6394231235625039 ,0.15100342841669048 ,0.6695413820774432  
0.4000000000000002,-61.542981286509736,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.04090897332399563 ,0.996695872071215 ,0.1925192257062201 ,53.7591010625753 ,-1.352380052867897 ,0.13759622107830827 ,0.6696934858262783  
0.4250000000000002,-61.54017074460814,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.04092225361362915 ,0.9966936423160219 ,0.19254234298073358 ,53.75956599624952 ,-1.1231174885153652 ,0.1258246728040221 ,0.6698455165063999  
0.45000000000000023,-61.53782003391433,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.04093328574581949 ,0.996691789412355 ,0.19256154397850705 ,53.759952172718044 ,-0.9393614435723777 ,0.11548880088960378 ,0.6699974745508124  
0.47500000000000026,-61.53583924124407,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.040942515103459594 ,0.9966902388664622 ,0.19257760532216017 ,53.760275208215866 ,-0.7915371415679645 ,0.10641319607344871 ,0.6701493603132473  
0.5000000000000002,-61.534157175683475,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.04095029363591222 ,0.9966889317588894 ,0.19259114046359238 ,53.760547438549494 ,-0.6721623331971356 ,0.09844396831313293 ,0.6703011740847914  
0.5250000000000001,-61.53271730463597,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.04095690018384493 ,0.9966878213747467 ,0.19260263526413696 ,53.7607786342089 ,-0.5753790179953505 ,0.09144608223498676 ,0.6704529161068977  
0.55,-61.53147459512587,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.04096255628944626 ,0.9966868705759648 ,0.19261247564100897 ,53.76097655609465 ,-0.49659159738704484 ,0.08530102957801428 ,0.6706045865815838  
0.575,-61.530393055382106,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.04096743850568869 ,0.9966860497513531 ,0.1926209690726955 ,53.76114738784758 ,-0.4321869757689027 ,0.07990479394327936 ,0.670756185679439  
0.5999999999999999,-61.52944381868902,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.0409716879897798 ,0.996685335216359 ,0.1926283613475145 ,53.76129607257879 ,-0.37931782821736776 ,0.07516606969276272 ,0.6709077135459229  
0.6249999999999998,-61.528603647576055,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.04097541798887388 ,0.9966847079627802 ,0.19263484962476357 ,53.761426575482275 ,-0.33573460605793387 ,0.07100470224628097 ,0.6710591703063338  
0.6499999999999997,-61.527853764178296,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.04097871968899914 ,0.9966841526808087 ,0.1926405926351064 ,53.76154208893955 ,-0.29965518167890676 ,0.06735032154203341 ,0.6712105560697331  
0.6749999999999996,-61.52717893397747,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.04098166679201677 ,0.9966836569930846 ,0.19264571865954055 ,53.761645192964394 ,-0.2696635864881416 ,0.06414114423454559 ,0.6713618709320577  
0.6999999999999995,-61.52656674661085,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.0409843191032861 ,0.996683210853869 ,0.1926503317817086 ,53.76173798093201 ,-0.24463125532218707 ,0.0613229234381194 ,0.6715131149785918  
0.7249999999999994,-61.52600705014625,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.0409867253491459 ,0.996682806076917 ,0.19265451679666867 ,53.76182215829377 ,-0.22365569660608542 ,0.0588480275877324 ,0.6716642882859386  
0.7499999999999993,-61.52549150503405,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.0409889253941322 ,0.9966824359637522 ,0.1926583430729839 ,53.761899120245374 ,-0.20601266625880404 ,0.056674632363067634 ,0.6718153909235969  
0.7749999999999992,-61.52501323152758,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.0409909519897813 ,0.9966820950103487 ,0.1926618675983215 ,53.761970012976455 ,-0.1911188156226645 ,0.054766011668519146 ,0.6719664229552262  
0.7999999999999992,-61.524566530223424,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.04099283215739531 ,0.9966817786751233 ,0.19266513738720248 ,53.762035782093356 ,-0.17850247135030048 ,0.05308991543350158 ,0.6721173844396665  
0.8249999999999991,-61.5241466599063,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.040994588284324986 ,0.9966814831949425 ,0.19266819138965235 ,53.76209721100507 ,-0.16778073550142492 ,0.05161802353452235 ,0.6722682754317619  
0.849999999999999,-61.52374966039287,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.04099623899564669 ,0.9966812054387861 ,0.1926710620086331 ,53.76215495144157 ,-0.1586415033400563 ,0.050325466477213754 ,0.6724190959830307  
0.8749999999999989,-61.523372210787386,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.040997799849407185 ,0.9966809427910052 ,0.19267377631021843 ,53.76220954779292 ,-0.1508293123125599 ,0.0491904046410793 ,0.6725698461422102  
0.8999999999999988,-61.52301151566998,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.04099928389298678 ,0.9966806930578824 ,0.19267635699194224 ,53.76226145658493 ,-0.14413417981554869 ,0.048193658905732004 ,0.6727205259557033  
0.9249999999999987,-61.52266521337439,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.04100070210988705 ,0.9966804543925829 ,0.1926788231603731 ,53.76231106211813 ,-0.13838277608056726 ,0.04731838636487677 ,0.6728711354679461  
0.9499999999999986,-61.52233130178198,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.04100206377984746 ,0.9966802252346547 ,0.19268119095780856 ,53.762358689072165 ,-0.13343142447152356 ,0.046549795610213565 ,0.6730216747217103  
0.9749999999999985,-61.522008078046994,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.04100337677022211 ,0.996680004261071 ,0.1926834740693153 ,53.76240461270379 ,-0.12916053446334638 ,0.04587489674635669 ,0.6731721437583547  
0.9999999999999984,-61.52169408943668,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.041004647772676976 ,0.9966797903464566 ,0.19268568413459808 ,53.76244906713071 ,-0.12547016006170958 ,0.0452822818922781 ,0.6733225426180338  
1.0249999999999984,-61.52138809306906,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.04100588249625595 ,0.996679582530641 ,0.19268783108393195 ,53.762492252088194 ,-0.12227644422825683 ,0.044761932445473246 ,0.6734728713398732  
1.0499999999999983,-61.52108902279887,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.04100708582551552 ,0.9966793799920801 ,0.1926899234133032 ,53.762534338462984 ,-0.11950876246303589 ,0.04430504984135121 ,0.6736231299621157  
